id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,review_scores_rating
9835,Beautiful Room & House,33057,Manju,,Manningham,-37.77268,145.09213,Private room,61,1,4,12/09/15,0.04,1,365,90
10803,Room in Cool Deco Apartment in Brunswick East,38901,Lindsay,,Moreland,-37.76651,144.98074,Private room,35,3,122,01/04/19,1.61,1,188,87
12936,St Kilda 1BR+BEACHSIDE+BALCONY+GARAGE+WIFI+AC,50121,Frank & Vince,,Port Phillip,-37.85976,144.97737,Entire home/apt,159,3,23,31/03/19,0.22,18,164,94
15246,Large private room-close to city,59786,Eleni,,Darebin,-37.75897,144.98923,Private room,51,2,29,15/05/17,0.29,3,0,94
16760,Melbourne BnB near City & Sports,65090,Colin,,Port Phillip,-37.86453,144.99224,Private room,69,1,71,27/03/19,0.8,1,264,90
38271,Melbourne - Old Trafford Apartment,164193,Daryl,,Casey,-38.05725,145.33936,Entire home/apt,99,1,122,30/03/19,1.2,1,358,97
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,,Darebin,-37.69729,145.00082,Private room,51,7,159,22/08/18,1.56,3,0,94
43414,Home In The City,189682,Belinda,,Melbourne,-37.81027,144.98592,Private room,100,1,4,26/01/19,0.28,1,36,93
43429,Tranquil Javanese-Style Apartment in Oakleigh East,189684,Allan,,Monash,-37.8996,145.11447,Entire home/apt,99,2,183,29/03/19,1.8,1,235,97
44082,Queen Room in Beautiful House,193031,Vicki,,Frankston,-38.14932,145.14157,Private room,69,4,30,19/03/19,0.3,6,357,99
47100,Très Charming in Fabulous Richmond,212071,Loren,,Yarra,-37.81804,145.00442,Entire home/apt,99,5,177,28/12/18,1.69,4,0,98
50492,St Kilda CENTRAL LUXE 2BR+PRIVATE COURTYARDS+WIFI,50121,Frank & Vince,,Port Phillip,-37.86127,144.98038,Entire home/apt,189,3,55,19/03/19,0.71,18,138,97
51592,Central City Warehouse Apartment,190879,Michelle,,Melbourne,-37.81486,144.96267,Entire home/apt,249,2,207,31/03/19,2.09,1,346,99
58055,By the park,277353,Loretta,,Bayside,-37.92959,145.02568,Private room,45,2,18,22/10/18,0.18,3,365,85
62606,A Room Near the Park,277353,Loretta,,Bayside,-37.92817,145.02518,Private room,39,2,21,29/11/18,0.21,3,348,84
65432,Garden Views,277353,Loretta,,Bayside,-37.92979,145.02548,Private room,44,2,43,20/12/18,0.43,3,364,81
66754,Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,50121,Frank & Vince,,Yarra,-37.82092,144.99384,Entire home/apt,139,3,50,28/03/19,0.51,18,171,95
67211,"Kew Tranquility, Melbourne",326880,Kate,,Boroondara,-37.8037,145.03396,Private room,45,2,156,07/04/19,1.57,1,347,95
68036,Classic Fitzroy Terrace (w/ cat) - walk to Tennis,336319,Andre,,Yarra,-37.80312,144.9766,Entire home/apt,160,5,27,22/01/18,0.29,1,250,98
68411,Large Bayside suburban house,334095,Alec,,Bayside,-37.93206,145.0146,Entire home/apt,300,1,0,,,1,0,93
68482,Charming house inner Melbourne,59786,Eleni,,Darebin,-37.75861,144.98928,Entire home/apt,139,5,5,06/01/16,0.08,3,0,95
69421,"Pet Friendly Warm Apmt , Clifton Hill, Melbourne",347754,Wendy,,Yarra,-37.78784,145.00548,Entire home/apt,180,2,1,10/01/16,0.03,1,365,100
70004,King Single in Beautiful House,193031,Vicki,,Frankston,-38.14931,145.1419,Private room,59,4,31,05/03/19,0.5,6,358,100
72576,"Stunning Fitzroy, own level + bathroom.  No Ikea!",376675,Ramona,,Yarra,-37.80689,144.97946,Private room,120,3,456,27/03/19,4.68,2,230,98
